seccion,calificacion,cantidad,genero
speak 1,Pre - A1,16,0
speak 1,A1,14,0
speak 1,A2,2,0
speak 1,Pre - A1,22,1
speak 1,A1,8,1
speak 1,A2,2,1
speak 2,Pre - A1,2,0
speak 2,A1,4,0
speak 2,A2,3,0
speak 2,Pre - A1,7,1
speak 2,A1,7,1
speak 2,A2,6,1
reading,Pre - A1,3,0
reading,A1 -,0,0
reading,A1,3,0
reading,A1 +,8,0
reading,A2 -,8,0
reading,A2,6,0
reading,A2 +,6,0
reading,Pre - A1,1,1
reading,A1 -,8,1
reading,A1,17,1
reading,A1 +,3,1
reading,A2 -,15,1
reading,A2,10,1
reading,A2 +,3,1
listening,Pre - A1,0,0
listening,A1 -,1,0
listening,A1,6,0
listening,A1 +,8,0
listening,A2 -,6,0
listening,A2,4,0
listening,A2 +,3,0
listening,Pre - A1,0,1
listening,A1 -,1,1
listening,A1,6,1
listening,A1 +,9,1
listening,A2 -,5,1
listening,A2,5,1
listening,A2 +,2,1
