seccion,calificacion,cantidad,genero
speak 1,Pre - A1,255,0
speak 1,A1,278,0
speak 1,A2,245,0
speak 1,Pre - A1,249,1
speak 1,A1,276,1
speak 1,A2,253,1
speak 2,Pre - A1,110,0
speak 2,A1,96,0
speak 2,A2,104,0
speak 2,Pre - A1,110,1
speak 2,A1,131,1
speak 2,A2,106,1
reading,Pre - A1,121,0
reading,A1 -,127,0
reading,A1,131,0
reading,A1 +,106,0
reading,A2 -,92,0
reading,A2,112,0
reading,A2 +,107,0
reading,Pre - A1,103,1
reading,A1 -,237,1
reading,A1,273,1
reading,A1 +,277,1
reading,A2 -,271,1
reading,A2,259,1
reading,A2 +,257,1
listening,Pre - A1,110,0
listening,A1 -,107,0
listening,A1,115,0
listening,A1 +,123,0
listening,A2 -,111,0
listening,A2,127,0
listening,A2 +,94,0
listening,Pre - A1,93,1
listening,A1 -,123,1
listening,A1,109,1
listening,A1 +,109,1
listening,A2 -,121,1
listening,A2,107,1
listening,A2 +,125,1
